,player_id,team_id,season_id
195,203914,DEN,2019-20
196,203925,BKN,2019-20
197,202699,PHI,2019-20
198,1627885,CHI,2019-20
199,1628404,NOP,2019-20
200,1628392,HOU,2019-20
201,2617,MIA,2019-20
202,1629637,NOP,2019-20
203,202330,BOS,2019-20
204,203089,CLE,2019-20
205,1629608,TOR,2019-20
206,1627823,DEN,2019-20
207,1626195,CHA,2019-20
208,1629639,MIA,2019-20
209,1626209,POR,2019-20
210,1627741,SAC,2019-20
211,201588,MIL,2019-20
212,203524,MEM,2019-20
213,1629658,POR,2019-20
214,1628988,IND,2019-20
215,201950,NOP,2019-20
216,203200,IND,2019-20
217,1626178,TOR,2019-20
218,1626158,SAC,2019-20
219,203918,POR,2019-20
220,201143,PHI,2019-20
221,1629659,LAL,2019-20
222,1627863,HOU,2019-20
223,2730,LAL,2019-20
224,1628989,ATL,2019-20
225,1629631,ATL,2019-20
226,1628990,CHI,2019-20
227,201586,TOR,2019-20
228,2738,MEM,2019-20
229,101141,MIL,2019-20
230,204060,UTA,2019-20
231,1627742,NOP,2019-20
232,202681,BKN,2019-20
233,1628371,ORL,2019-20
234,1628411,ORL,2019-20
235,1628402,NOP,2019-20
236,1628367,MEM,2019-20
237,1628382,DAL,2019-20
238,202704,DET,2019-20
239,1628991,MEM,2019-20
240,1629713,SAC,2019-20
241,2544,LAL,2019-20
242,1628518,ORL,2019-20
243,1629610,SAC,2019-20
244,1629660,PHX,2019-20
245,1628993,IND,2019-20
246,1629168,ORL,2019-20
247,1629661,PHX,2019-20
248,201949,MIA,2019-20
249,1629640,SAS,2019-20
250,1626169,TOR,2019-20
251,204020,PHX,2019-20
252,203999,DEN,2019-20
253,1627745,ATL,2019-20
254,1626145,MEM,2019-20
255,1627884,MIA,2019-20
256,201599,BKN,2019-20
257,202709,SAC,2019-20
258,1629662,LAC,2019-20
259,1626163,PHX,2019-20
260,202683,BOS,2019-20
261,1628379,DET,2019-20
263,203077,CHA,2019-20
264,1629663,DET,2019-20
265,1628467,DAL,2019-20
266,202688,CLE,2019-20
267,1628995,NYK,2019-20
268,1629723,MEM,2019-20
269,1627788,PHI,2019-20
270,1628436,CHI,2019-20
271,2594,MIL,2019-20
272,1629066,BKN,2019-20
273,1628398,LAL,2019-20
274,203897,CHI,2019-20
275,1627746,POR,2019-20
276,203087,IND,2019-20
277,1629641,BOS,2019-20
278,1627774,MIN,2019-20
279,1627747,BKN,2019-20
280,1628388,IND,2019-20
281,1629665,PHX,2019-20
282,201584,DAL,2019-20
283,1627814,GSW,2019-20
284,203458,ATL,2019-20
285,202695,LAC,2019-20
286,203086,MIA,2019-20
287,203081,POR,2019-20
288,1629642,POR,2019-20
289,1626172,GSW,2019-20
290,201572,MIL,2019-20
291,201577,MIL,2019-20
292,201567,CLE,2019-20
293,200768,TOR,2019-20
294,1627789,BKN,2019-20
295,1626168,SAS,2019-20
296,1629133,MIA,2019-20
297,203705,ATL,2019-20
298,101133,WAS,2019-20
299,1627748,DET,2019-20
300,1629611,LAC,2019-20
301,1626246,DAL,2019-20
302,1628374,CHI,2019-20
303,1628997,CHA,2019-20
304,1628998,CHA,2019-20
305,1629103,MIN,2019-20
306,1628412,MIL,2019-20
307,1629726,WAS,2019-20
308,202083,MIL,2019-20
309,1627775,TOR,2019-20
310,203468,POR,2019-20
311,204456,IND,2019-20
312,1629667,CHA,2019-20
313,203926,IND,2019-20
314,201580,LAL,2019-20
315,203585,LAC,2019-20
316,1628035,CLE,2019-20
317,1629162,MIN,2019-20
318,203463,HOU,2019-20
319,203895,WAS,2019-20
320,1629740,NOP,2019-20
321,1629001,MEM,2019-20
322,1629002,SAS,2019-20
323,203114,MIL,2019-20
324,101139,WAS,2019-20
325,203121,NOP,2019-20
326,1626259,TOR,2019-20
327,201988,SAS,2019-20
328,200794,DEN,2019-20
329,1629003,PHI,2019-20
330,1628378,UTA,2019-20
331,1628513,IND,2019-20
332,1629690,CHI,2019-20
333,1628370,CHA,2019-20
334,202734,NOP,2019-20
335,1629630,MEM,2019-20
336,202693,DET,2019-20
337,1628420,DEN,2019-20
338,202694,NYK,2019-20
339,1628405,LAC,2019-20
340,1626144,UTA,2019-20
341,1627749,SAS,2019-20
342,1627750,DEN,2019-20
343,1629058,BKN,2019-20
344,203488,OKC,2019-20
345,1629004,DET,2019-20
346,1627846,OKC,2019-20
347,1626204,CLE,2019-20
348,203894,MIN,2019-20
349,2403,HOU,2019-20
350,203526,PHI,2019-20
351,1627777,UTA,2019-20
352,203457,OKC,2019-20
354,1629669,MIN,2019-20
355,1628373,NYK,2019-20
356,1629134,MIA,2019-20
357,203994,POR,2019-20
358,1628021,BKN,2019-20
359,1626220,UTA,2019-20
360,203124,PHI,2019-20
361,1628400,BOS,2019-20
362,1626143,NOP,2019-20
363,1629059,PHX,2019-20
364,1629006,MIN,2019-20
365,1629644,MIA,2019-20
366,203506,IND,2019-20
367,203482,MIA,2019-20
368,1629671,UTA,2019-20
369,1626224,CLE,2019-20
370,1626162,PHX,2019-20
371,203953,ATL,2019-20
372,202718,ATL,2019-20
373,1629672,GSW,2019-20
374,202335,LAC,2019-20
375,1628383,OKC,2019-20
376,101108,OKC,2019-20
377,203901,NYK,2019-20
378,203658,PHI,2019-20
379,1629033,BKN,2019-20
380,203486,DEN,2019-20
381,1627751,SAS,2019-20
382,1629738,BOS,2019-20
383,1629044,TOR,2019-20
384,1629673,GSW,2019-20
385,1629645,CLE,2019-20
386,1629008,DEN,2019-20
387,203490,CHI,2019-20
388,1626171,NYK,2019-20
389,204001,DAL,2019-20
390,203939,DAL,2019-20
391,1626181,TOR,2019-20
392,1627752,BKN,2019-20
393,1628397,NYK,2019-20
394,203944,NYK,2019-20
395,1629729,DAL,2019-20
396,1629629,ATL,2019-20
397,200755,NOP,2019-20
398,1629675,MIN,2019-20
399,1629244,MIL,2019-20
400,1626196,PHI,2019-20
401,203085,HOU,2019-20
402,203460,OKC,2019-20
403,1629130,MIA,2019-20
404,1629010,LAC,2019-20
405,1629620,WAS,2019-20
406,1629011,NYK,2019-20
407,203922,GSW,2019-20
408,1629676,DAL,2019-20
409,200765,LAL,2019-20
410,201565,DET,2019-20
411,203082,ORL,2019-20
412,1626179,CHA,2019-20
413,201937,PHX,2019-20
414,1626156,GSW,2019-20
415,1627734,IND,2019-20
416,1629677,SAS,2019-20
417,203960,PHI,2019-20
418,203967,PHX,2019-20
419,203107,CHI,2019-20
420,1629678,WAS,2019-20
421,203471,OKC,2019-20
422,203118,PHI,2019-20
423,200757,HOU,2019-20
424,1629012,CLE,2019-20
425,1629013,LAC,2019-20
426,1629621,PHI,2019-20
427,1627783,TOR,2019-20
428,1629735,MIA,2019-20
429,1627732,PHI,2019-20
430,1628424,MEM,2019-20
431,1629014,POR,2019-20
432,1629346,GSW,2019-20
433,203935,BOS,2019-20
434,202397,WAS,2019-20
435,1629015,PHI,2019-20
436,1628372,NYK,2019-20
437,203503,DET,2019-20
438,1629016,GSW,2019-20
439,1629622,CHI,2019-20
440,1628410,IND,2019-20
441,1628403,SAC,2019-20
442,1628369,BOS,2019-20
443,201952,MIN,2019-20
444,202066,BKN,2019-20
445,1628464,BOS,2019-20
446,202738,WAS,2019-20
447,1629017,DET,2019-20
448,1629744,TOR,2019-20
449,202691,GSW,2019-20
